詞彙,釋義,例句
脫粉,脫離粉絲組織，不再是他的粉絲的意思。,由於對偶像行為的不滿，小美決定脫粉，專注於自己的生活。
脫單,脫離單身狀態，即交到另一半,經過朋友的介紹，他終於成功脫單，找到了心儀的另一半。
蛇,跟發文者使用私人訊息通信，進一步討論了解的意思。網友習慣在討論串下方留言回覆「私」來表示「已私訊你」、「請私訊我」。久了之後，因為蛇的叫聲是「嘶」，開始有人以「蛇」來代替「私」。,在討論串裡，小明留下了他的問題，接著有人留言說「蛇」，表示他已經私訊詳細解答。
蛋雕,丟掉,這東西已經不能用了，蛋雕！
軟實力,指國家、群體或個人的特質、價值觀、意識形態等難以量化的能力。,隨著全球化的進程不斷加快，一個國家能否在國際舞臺上佔據重要位置，軟實力往往比軍事和經濟力量更加關鍵。
通膨,通貨膨脹的縮寫,通膨這麼嚴重，這個月又不用吃午餐了。
通靈,用來形容在缺乏明確資訊或指引的情況下，必須憑空猜測答案或解決問題。,施作 驗圍 備料使用技術工期違約事項 不打契約靠通靈?
郭,原本是「干我屁事」，簡寫成「干我」，唸快一點聽起來就會像「郭」,啊是郭，不會自己處理嗎？
郭P4,「關我屁事」的諧音,小明這麼晚才回家，媽媽問他去哪裡了，他不耐煩地說了一句「郭P4」。
都幾,來自於日文 docchi，意思是要選哪一個？選哪個比較好？,中午吃拉麵還是便當？都幾？
釣魚文,目的性明確的文章，以不實的證據、錯誤的推論來生成網路謠言，引導未能分辨的讀者表態支持或反對，進而相互爭執、產生糾紛。此類文章可能是基於惡作劇心態，也可能是為了塑造特定的輿論效果。,昨天張先生在論壇上發現了一篇釣魚文，文章聲稱科學家已經證實喝咖啡會讓人變矮，引得不少人熱烈討論。
陰暗爬行,（陰暗的爬行）（尖叫） （爬行）（扭動）（分裂）（陰暗地蠕動）（翻滾）（激烈地爬動）（扭曲）（痙攣）,比起陰暗爬行，我更希望讓施宥丞通我的屁眼
雀食,來源於「確實」的諧音，常用於聊天或網絡交流中，表示認同某件事或對某觀點表示肯定。這種表達方式帶有俏皮和輕鬆的語氣,這部電影真的很感人，雀食值得一看。
頂大,「頂尖大學」的簡稱。,小明的目標是考上頂大，因此他每天都非常努力地學習。
頂配,指產品、配置或功能達到最高級別或最優水平，通常在品質、性能或價格上也較高。,TB貴，可是頂配啊。
麻豆,英文「model」的諧音。,她夢想成為一名國際知名的麻豆，走在巴黎時裝週的伸展台上。
最頂,指無法超越的最高點、頂峰之意。也可以用「超頂」「很頂」取代，都是指事物達到極致，令人感到非常滿意或驚豔的意思。   ,哇，這件衣服真的超頂，穿上去完全改變氣質，大家都說超好看！
凱瑞,控制全場大局、帶領大家一起完成一件事。由英文「carry」音譯而來,在這次專案中，小明真是發揮了凱瑞的作用，帶領整個團隊按時完成了所有任務。
勞贖,「老鼠」的諧音，帶有詼諧語氣,大家看，這裡有一隻超大的勞贖屍體！
喇迪賽,喇迪賽，代表了一種輕鬆、隨意或沒有壓力的狀態，常用來形容一種懶散或不緊張的氛圍。,下班後，我們去海邊喇迪賽，享受悠閒的周末時光。
喔氣氣氣氣氣,「生氣」的搞笑表現，源自於2019年總統候選人韓國瑜的某女粉絲在接受媒體採訪時的發言,他因為被捉弄了一整天，最後只能無奈地拍拍桌子說：「喔氣氣氣氣氣！」大家都笑了起來。
單身狗,指單身的人，多用於自嘲,他們又在撒狗糧了，要我這隻我單身狗如何是好
喵星人,網路流行語，指貓咪。因貓的叫聲「喵」字音譯，常用於幽默或擬人化地描述貓。,（主辦方）提供寵物聖誕裝扮，讓喵星人也可以跟主人一起Cosplay，來個不同的耶誕節！
喵皇,用來形容被家中寵愛至極的貓咪，擁有像皇帝般的待遇和地位。,我家喵皇吃的還比我好！
報復性,形容一種迅速且激烈的逆轉，以回應先前的損失或下跌，通常在市場或經濟情境中使用。,道瓊指數報復性反彈近千點，隨後漲幅收斂
富到流油,形容一個人極其富有，擁有大量財富。,李先生是那種富到流油的人，光是他的車庫裡就有十幾輛名貴豪車。
尊嘟假嘟,「真的假的」的諧音用法,聽說隔壁班的帥哥主動找小芬聊天了！尊嘟假嘟？她的春天來了！
幾霸昏,用來形容某事物或邏輯極為荒謬或令人困惑，通常帶有調侃意味。,笑死 這邏輯幾霸昏
惡搞,以惡作劇的方式破壞事物、妨礙計畫或傷害、捉弄他人。 例句：請將車子好好停到車格裡，不要再惡搞行人的人身安全。,那位同學在班級群組裡惡搞，把老師的講課錄音修改成搞笑版本，引起了不少爭議。
掰掰,英文「bye bye」，再見。也作「88」、「881」、「8181」、「886」、「ㄅㄅ」。,下課鐘響了，小明和同學們揮手說：「掰掰，明天見！」
插旗,宣告正式加入，常用於形容企業進入新市場或擴展分店。,隨著這家國際連鎖咖啡品牌在台北的首家分店開幕，它正式在亞洲市場插旗，標誌著一個新的里程碑。
揪,台灣台語「招（tsio）」，邀請他人一同參與某事。,我們今晚要去唱歌，你要不要一起來？我揪了幾個朋友，應該會很好玩！
揪團,找人一起從事某些活動。例如烤肉、唱歌乃至報名補習班或籌組讀書會等，只要有「徵求、募集、籌組」的意思，都可以使用這個辭彙。,中秋節快到了，我們正在揪團一起去公園烤肉，誰有興趣可以加入。
普普,「普普通通」的簡稱。也作「普」。,這部電影的評價有點普普，大家都覺得劇情很一般。
暑假特產,指行為幼稚的青少年。由於暑假期間學校休假，大量學生湧入線上遊戲和社群平台，導致這些地方出現特定的行為特徵，例如吵鬧、刷屏、無厘頭發言等。,自從暑假開始，遊戲伺服器上滿是暑假特產，他們的吵鬧行為讓很多玩家感到無奈。
棉見,明天見,今天聊得很開心，棉見！
森77,「生氣氣」的諧音，詞尾用疊字表裝可愛。也作「377」、「森7」、「生七七」、「森氣氣」、「生77」。,當他發現有人在背後說他壞話時，他整個人都森77了，看起來又氣又可愛。
殘念,日文「残念（ざんねん）」，用以表示期待落空的遺憾、不甘心等情緒。,當得知演唱會的門票已經售罄時，小明只能無奈地說：「唉，真是殘念。」
渣,貶義詞，指某人行為不端，常用來形容感情不專一的人。,小美發現對方同時和好幾個人約會，忍不住感嘆：「真是個渣男！」
港覺,「感覺」的諧音，指一種特定的感受或印象，通常帶有幽默或戲謔的色彩。,不得不說這菜脯蛋切的也太工整了，有點像蛋糕的港覺XD
無言,因無法用語言表達感受或難以置信而不知該說什麼。,我實在無言 好險唱快歌很快下台
無言薯條,就是「無言」、「無話可說」、「無言以對」的意思。「無言薯條」來源已經不可考，據傳是來自一則古老的冷笑話。,當他不小心把咖啡灑滿整張報告紙時，我只能無言薯條地看著他。
無痕,不留下痕跡或記錄。可作為網頁瀏覽器「無痕模式」的簡稱。,使用無痕模式瀏覽網頁，可以確保你的瀏覽歷史不會被保存。
無痛,指在不感受到任何負擔或困難的情況下完成某件事。,人家可以無痛轉LCS賺美金 菜又如何
無敵星星,用以形容COVID-19確診者在痊癒後，擁有一段不會再次感染的免疫時間。不過由於病毒不斷產生新變種，醫學界似乎並未證實「無敵星星」的存在。,確診後的阿明自信地笑著說：「我現在可是有無敵星星，暫時不用再擔心感染了！」不過，他仍小心謹慎地戴著口罩。
無課,指遊玩免費遊戲，並且沒在遊戲中花費金錢的玩家 ( 可以說是F2P ),作為一個無課玩家，小明非常謹慎地管理遊戲中的資源，以便能追上那些花錢的玩家。
無縫,泛指過程或過渡自然、順暢，無任何間斷或障礙。,場外無縫回傳票數 場內深度分析選情
猴,形容行為十分幼稚或沒水準,你朋友真的很猴，不只隨地亂丟煙蒂，還會偷車呢
登出,登出人生，登出遊戲或是準備就寢時也可使用登出晚安,今天真的是被老闆氣到想直接登出人生，連假快來救我！
登板,指在某個場合上獲得展示能力或表現機會，通常用於運動或演藝等需要表現的場合。,兩個弟弟都表現不錯欸 有把握登板機會
發文,指在社群平臺發布貼文或文章。也作「PO文」。,小明習慣每天早上發文，分享他的早餐日記給好友們。
盜圖,指將他人的圖片挪為己用,盜圖仔別盜圖
硬,「硬核」的簡稱。形容某事物的操作或學習難度比一般事物還高，或者形容該事物表達的情緒更加強烈。,昨天的黑客松比賽題目真的是太硬了，我們整個團隊熬了一夜才完成一個作品。
硬核,譯自英語“hardcore”，原指一種力量感強，節奏激烈的說唱音樂風格，後來引申指面向核心受眾，有一定難度或欣賞門檻的事物。,這部電影的情節複雜且涉及大量哲學討論，屬於硬核科幻，可能不適合所有觀眾。
硬控,使人動彈不得,老闆硬控專案進度，不管團隊的意見，結果搞得大家加班到爆。
紫爆,量測的數值到達某項指數最高或次高的程度，其代表顏色為紫色。通常用於說明空氣品質、車流量或社群平台的看板人氣。,「今天上午，市區的空氣品質達到紫爆，相關單位建議民眾減少外出並佩戴口罩。」
給推,對網友發布的貼文或文章表示認同，會在下方回文「給推」，也簡稱「推」。有時也會在「給推」前面加認可的理由。,「這篇關於環保的文章寫得太好了，我完全同意作者的觀點，給推！」
舒適圈,指個人在熟悉、不具挑戰性或風險的小環境中，通常帶來安全感和穩定性，但可能限制成長和發展的潛力。,她2年前跳脫舒適圈做電商，加上有2個小孩，很多觀眾好奇她如何兼顧家庭和職場，紛紛拱她出書
菜逼八,指一個新手或不熟練某事的人，常在遊戲或某項活動中被使用，形容技巧不佳但卻顯得正常。,菜逼八這樣滿正常的
萌,日文「萌え（もえ）」，使人萌發憐愛之情，現與「可愛」逐漸混同。,看到那只小貓躺在草地上曬太陽，實在太萌了，讓人忍不住想要抱抱牠。
蛤,表示驚訝、不解或需要重複確認，有時用來強調疑問或不滿的語氣。,1. 什麼城市市容這麼差，竟然會滿地的紙屑，難道都沒有清潔人員嗎？有卦嗎？蛤？2. 從佛心部門轉到這種部門，自己調適蛤
買尬,英文「my god」音譯，用於感嘆句句首。,買尬，我居然忘了今天是最後提交報告的期限！
貼貼,由日文「てぇてぇ」音譯而來，形容兩人之間關係和互動十分親密，可以指愛情、親情、友情等（多指愛情）。,她們兩個實在太貼貼了，走在一起感覺整個空氣都被甜蜜填滿了。
貼臉開大,遊戲中指玩家將角色貼近對手臉部直接釋放強力技能。生活中指集中對方的弱點採取極為直接的言行使人難堪。,當主管在會議上直接點名小明的錯誤，還細數了他過去的失誤，簡直是貼臉開大，讓小明當場無地自容。
超取,「超商取貨」的簡稱。網路購物後，可選擇將購買的貨品寄至便利超商領取。,我在網路上買了幾本書，選擇超取，這樣可以在下班後順路去便利商店領取。
超新星,指實力高超、迅速崛起的新人。,在今年的音樂節上，這位原本名不見經傳的歌手以其獨特的嗓音和創新的曲風迅速走紅，被譽為樂壇的「超新星」。
超濃起司,"原指網路論壇中，對涉及""擬人動物""性癖喜好之視覺影像的調侃。現多與""不獸控制""同為獸迷、獸控愛好者自嘲，彰顯所愛的非貶抑用語。",你看這隻彩虹小馬，超濃起司，超讚!
超譯,以翻譯者自己對於原文的理解來翻譯、解說原文，而非以解釋原作者語意為目標。,在這本小說的英文版中，翻譯者選擇了超譯的方式，讓角色的對話更符合現代讀者的口味，甚至加入了不少原作中沒有的幽默元素。
跑酷,法語「Parkour」，一種極限運動，無既定規則，以一般日常生活環境為主。,每個週末，小明都會和他的朋友們在城市的各個角落練習跑酷，挑戰高樓和各種障礙。
鄉民,網路使用者，經常特指使用PTT的人。,「鄉民們在PTT上熱烈討論最新的熱門話題，意見五花八門。」
量子糾纏,採取同步或模仿行為產生影響現象。,在群體舞蹈中，舞者們似乎進入了一種量子糾纏狀態，他們的動作同步到令人驚嘆，無需任何言語指引即可隨著音樂完美切換隊形。
開大絕,原指在遊戲中使用最強技能或能力，現引申為在面臨困境或危機時，採取最後或最強的手段來化解問題。,發現打不贏 自己站不住腳趕快開大絕刪文
開台,指網絡主播在網絡平台上開始直播節目或活動。,開台檢討鄉民啊 就這麼簡單
開車,隱晦地談論性話題或暗示。,我懷疑這邊在開車，但我沒有證據。
開趴,「趴」源自英文「party」。指舉辦派對。,週末我們打算在我家開趴，慶祝大家考試結束。
開酸,尖酸刻薄的評價他人。,在討論會上，他話題一轉，開始對對手的提案開酸，毫不留情地指出其中的漏洞。
開箱,拆開箱子或包裝，並介紹裡面的產品。,小明迫不及待地在網路上直播開箱，向觀眾展示他剛剛買到的限量版遊戲機。
集氣文,此類型的文章出現在負面新聞事件或出現受難者時，以號召網友「集氣」並祈求受害者的傷痛可以盡速痊癒。,小明因意外住進了加護病房，他的家人寫了一篇集氣文，呼籲網友一起為小明祈福，希望他早日康復。
雲玩家,指通過觀看遊戲影片、直播等方式而不親自參與遊戲的玩家，通常對遊戲有興趣但因各種原因不玩遊戲的人。,我是看劇情沒玩的雲玩家啦
黑,攻擊、謾罵。,他在網上經常黑那些他不喜歡的名人，發表各種攻擊的評論。
黑人問號,指因困惑或難以理解某事而做出的面帶疑問的表情，源自流行的網絡表情包。,現在喊到150還有人嫌太便宜要拉到300我也是黑人問號
黑五,「黑色星期五」的簡稱。商業宣傳為了吸引消費者而創造的打折活動。源自於美國習俗，每年的感恩節後的下一個星期五皆為黑色星期五。,每年「黑五」期間，各大品牌都會推出誘人的折扣活動，吸引大量消費者搶購。
黑水溝,指台灣海峽 因為洋流和特殊的地理環境 導致從中國來的船隻容易落難 所以漢人移民稱之為黑水溝,中共軍機又越過黑水溝中線了，喔氣氣氣氣氣
黑特,指表達強烈不滿或批評，通常帶有戲謔或諷刺意味。,吃完覺得喵的咧這比罐罐還難吃（黑特點在這喔）
黑粉,指專門批評或貶低某位名人、作品或品牌的人，即使他們可能表面上看似支持者，但實際上持有負面態度。,黑粉繼續罵，人家市佔還是穩啦哈哈哈哈哈
黑歷史,指讓人十分尷尬害羞，不想面對的過去。,每次朋友提起我高中時期那段非主流打扮的黑歷史，我都忍不住感到一陣尷尬。
傻眼貓咪,「傻眼」的意思。,他在衝三小阿，傻眼貓咪！
傻逼,傻逼是一種粗俗的口語化侮辱詞，通常用來形容一個人愚蠢、缺乏常識或令人不滿的行為。,我又忘了帶鑰匙出門，真是個傻逼。
傻爆屁眼,傻眼的誇張說法，意指非常無奈,中午想吃的店沒開，我真的傻爆屁眼
塊陶阿,意思是「快逃啊」。起源自網友在打線上遊戲時情急打出的錯別字。,敵人來了，咱們扛不住了，塊陶阿！
塑膠,無視、忽略人,你又用這種講話的態度，是當我塑膠喔。
塞奶,泛指利用各種手段或策略，從長輩或權威人士那裡獲得額外的資源或福利，有時帶有討好的意味。,我還有一個同學，表現好時沒什麼獎勵，弟弟才有，但他弟弟都會跟長輩塞奶幫姐姐也討
奧客,指惡劣、行為不檢的客人。具貶抑。,那天在餐廳裡，一位奧客不僅對服務生大聲嚷嚷，還拒絕支付已點的餐點費用。
媽，我在這,類似媽！我上電視了，常被用於可能或已經登上新聞的文章的回覆內容。,今天公司的活動照片上了社群平台，看到自己了，媽，我在這！
媽寶,指成年後仍過度依賴母親、不獨立自主的男性，通常在生活或決策上時常需要母親介入。,李先生總是把所有的決定交給母親，朋友們嘲笑他是個典型的媽寶。
幹話,讓人不明所以的話。通常是指一些不切實際的建議、過時的論點，對聽的人不但沒有幫助，還令人十分惱火。,他建議用冷水洗車來防止車子被偷，簡直就是幹話。
幹譙,粗俗地責罵或用惡劣語言攻擊他人，帶有強烈的情緒發洩。,他因為工作壓力太大，忍不住在開會時幹譙了不合作的同事。
微解封,非正式全面解除禁令或政策等。,自從政府實施微解封政策後，許多商家開始逐步恢復營業，市區的活力也因此慢慢回來了。
愛豆,「idol」的音譯。偶像。,每當我看到愛豆在舞臺上表演時，總是感到熱血沸騰，彷彿被他們的魅力深深吸引。
愛媽,指具有愛心並積極參與動物救援或照顧的女性，通常會自發性地救助和照顧流浪動物，如貓狗等。,有愛媽日前在新豐鄉濱海地區的防風林看到貓、狗遺體，懷疑慘遭毒手
搶頭香,搶到第一個推文或留言位置，源自於拜廟的頭香習俗,每次新影片一發布，他總是想盡辦法搶頭香，立刻在留言區留下自己的印記。
新警察,新警察是ptt的流行語，其意思是用來比喻新來的，搞不清楚狀況的人，用法有點類似「菜鳥」，菜逼八等，尤其是常常用來指新手ptt用戶，不了解ptt鄉民文化和梗的人.,這位新警察剛上PTT，就急著發言，結果被鄉民糾正好幾次。
暈,1.表示無奈、無言以對的意思。 2. 在感情上先動了真感情、喜歡上對方的意思，可參見暈船。,1. 聽到你如此離譜的行徑，我真的暈了。2. 你看她那雙粗大腿，我真的好暈
暈船,陷於濃烈的愛戀情緒中，無法理智判斷對方的態度，也無法克制自己的舉止，容易做出讓對方困擾的行為。簡稱為【暈】。,每次跟他聊天我就暈船了，總是忍不住胡思亂想，希望他會秒回我的訊息。
暖心,即溫暖、貼心。,在寒冷的冬天，朋友送來一杯熱可可，讓人感到無比暖心。
暖男,指體貼能給人溫暖感覺的男生。,每當我心情低落時，志明總會陪在我身邊，耐心傾聽並開導我，真是一個典型的暖男。
業力引爆,指由業力積累所引發的結果突然顯現或加劇，通常用於描述不良行為最終造成的報應或後果。,你今日對我做的所做所為以後一定會業力引爆
業配,與廠商合作推銷或置入產品，為一種行銷方式。也作「ya配」。,小明在他的影片中悄悄地進行了業配，推薦了一款全新的智能音箱，觀眾們甚至沒發現這是與廠商合作的行銷方式。
業配文,與廠商合作推銷或置入產品，為一種行銷方式。其文章、貼文或影片可稱為「業配文」。也作「業配」、「ya配」、「葉配」、「業」、「葉」、「ya pay」、「葉佩雯」。,小明昨天在他的社交媒體上發了一篇關於他最愛的護膚霜的文章，細心的粉絲立刻就看出這是一篇業配文。
溫拿,Winner 的英文諧音。人生勝利組，指那些過著讓別人會羨慕的生活的人群。,小明才30歲就已經買了三套房，真是一個典型的溫拿。
滅火,1.降低購買欲望。 2.指相關人士出面解釋、平息爭議事件。,在新的手機型號公佈後，價格過高的評價讓公司的市場部門急需滅火，以降低潛在客戶的購買欲望。
滑,手指在手機等電子產品上觸控螢幕的操作行為。,我早上醒來的第一件事就是滑手機，快速瀏覽一下今天的新聞和社交媒體更新。
煉銅,即「戀童」之諧音，指對兒童有特殊的性癖好。,你這些煉銅的言論相當危險，快刪除吧
煙霧彈,用來遮蔽真相的替代品。,在公眾質疑公司的財務狀況時，管理層卻拋出一個新的合作項目作為煙霧彈，試圖轉移大家的注意力。
瑟瑟,色色的諧音字，亦或稱澀澀，指略為色情的人事物,好想瑟瑟，誰可以約我
綁卡,指將個人的銀行或信用卡資訊綁定到特定的支付平台或線上服務，以便於進行交易或付款。,1個月來進行綁卡作業，僅51萬人完成
綁定,指將兩個或多個事物聯繫在一起，使其產生關聯或固定連接的過程。在技術環境中，通常涉及將某一數據或功能與特定的設備、帳戶或應用程序進行連結。,旅客可持手機至車站旅客詢問處，站務人員將協助列印QR Code，方便掃描綁定。
綁架,引申為離不開某事物，上癮的意思。,這款手機遊戲太好玩了，我每天下班回家都被它「綁架」，根本停不下來。
綁樁腳,指在政治或選舉活動中，為鞏固支持者基礎而提供利益交換或特定好處給某些人，藉此穩固票源。也可以泛指任何形式的利益綁定行為，以確保對方支持。,選前送禮綁樁腳的手段真的太明顯了
群通,「群組通話功能」的簡稱。通訊科技發達、疫情隔離在家，人們越來越常用到這個功能，所以發展出了簡稱。,由於假期無法出門聚會，我們用群通舉行了一場線上派對。
聖母,形容沒有原則和底線的包容他人的過錯，看似很高尚，實則不可理喻的人。,小美總是勸大家對小李的壞脾氣多包容，讓人覺得她真是個聖母，根本不考慮問題的根本。
聖誕節,剩單節,一年一度的聖誕節又來了，又只剩我這矮醜窮的肥宅要單人度過了。 ：（
腦公,「老公」的諧音。,每次出門逛街，腦公總是貼心地幫我拿包包。
腦波弱,指想法容易受他人影響。,小明在選專業的時候由於腦波弱，只因朋友們大多選工程類，他就跟著放棄了自己喜歡的藝術。
腦洞,「腦袋破洞」的縮稱，引申為想像力過於豐富。,她的腦洞真大，竟然想出要在月球上開一間咖啡館的點子。
腦粉,對某人或事物極度崇拜且盲目支持的粉絲，常失去理智地捍衛偶像觀點。,天兵講話全是吳樂天的氣口，原來是吳的腦粉。
腦補,腦內補充，指沒有確切證據的聯想或瞎猜。,他只是遲到了十分鐘，你就腦補出他是不是出了什麼意外，這未免有點太誇張了吧。
腹黑,指某人看似溫和善良，其實心機深沉。,小明平時總是一副和藹可親的樣子，但大家都知道，他其實是個腹黑，總能在不動聲色間取得自己想要的結果。
補血,指提升活力或能量，通常是透過創新的方式來增加趣味性或吸引力。,新梗有創意 幫補血
解鎖,1.解除封鎖與限制。 2.指首次經歷或完成某件值得紀念的事。,1. 解除封鎖與限制：經過了一番努力，他終於解鎖了那個被密碼保護的文件夾。2. 首次經歷或完成某件值得紀念的事：她在生日當天解鎖了人生第一次獨自旅行的成就。
試水溫,做某事之前，先透露訊息或做出部分動作，以觀察大眾的反應或評估可能的結果。,在宣布全面改革之前，管理層決定先試水溫，釋放一些小範圍內的政策調整，以了解員工和市場的反應。
試營運,指在一個新項目、活動或設施正式啟用前，進行的有限制測試或運作，以檢驗其功能、流程及市場反應，確保正式運行的順利。,試營運期間也將有工程規畫單位及縣府人員進駐，歡迎提供體驗意見
話術,指運用巧妙的言辭技巧或華麗的語言包裝來影響他人觀點或行為的策略，常用於推銷或說服。,垃圾速食漢堡夾片生菜，廣告就會寫本產品含維生素ABCDEFG礦物質，話術人營養豐富、多吃一點
跟風,追隨某種風潮。,很多人在看到名人使用某款產品後，紛紛跟風購買，希望也能得到同樣的效果。
跪著用電腦,當網路上出現某些令人尊敬的網友時，便會以「跪在電腦前」來表達對對方的尊敬,這位大佬的程式碼實在是太優秀了，我只能跪著用電腦抄一遍。
路隊長,指在公路上不按規定使用車道，長時間占用快車道或超車道行駛卻不超車的駕駛者，通常影響交通流暢和其他車輛超車。,高速公路明明每隔幾公里就會有告示牌寫著“內側車道為超車道”，但內側還是一堆路隊長
農,指重複進行某種工作或活動以獲取資源、經驗或獎勵，常用於遊戲中形容玩家進行大量的任務以積累成果。,有些遊戲讓你農起來比較有里程感 有些就是靠掉寶率 然後永遠都不知道盡頭在哪
農場文,一種標題聳動、內容不實或容易誤導的網路文章。,這篇農場文雖然聲稱能一週快速減肥十公斤，但內容根本沒有科學依據。
違和,破綻，在和諧整體中出現的小瑕疵。,當她穿著正式晚禮服卻搭配一雙運動鞋時，整體裝扮給人一種違和的感覺。
酪梨,「蘿莉」的諧音,他常在遊戲裡遇到假裝萌萌酪梨的玩家。
雷,1. 用以形容某人不值得信賴或某事物的品質不佳。 2. 指文章、影音中含有劇透內容。,1. 我剛買的這部手機品質真雷，用了不到一個月就開始出問題了。2. 他發給我的影片裡有不少雷，我還沒看過電影就被劇透得一清二楚。
雷包,表現很糟糕的隊友或朋友。 從很雷、地雷發展而來。,昨天玩遊戲時，小明一直掉鏈子，大家都說他是個雷包。
電支,「電子支付」的簡稱。一種非現金、實體信用卡交易的支付方式。有獨立的電子支付帳戶，可以用來交易或轉帳。買方以信用卡綁定、帳戶轉帳等方式將款項經由電子支付機構為中介代為收取，再由機構交予賣方。,最近我在咖啡店點飲料時，發現大部分人都用電支來付款，速度又快又方便。
電波,在流行文化中，指個體之間的默契或合拍程度，特別是在性格、興趣或感知等方面的相似性或契合度。,1.什麼是電波不合？就是有的女生一定要男生個性怎樣不然不在一起的，條件在好也不在一起2.賽車遊戲是不是跟格鬥遊戲一樣 很吃電波呢?
電神,「電」用以形容某人在某領域(通常為學業)特別突出，碾壓眾人，而電神更是用以形容群雄之首,超級大電神不要再電我了啦
電銷,指透過電話進行產品或服務銷售的方式，通常由專職人員致電潛在客戶，介紹產品細節及促成交易。,去年雙11打來電銷問我要不要升級5G，合約算是原約升級，到期日不變
電聯,指通過電話進行聯繫或聯絡。,記者又電聯她，希望能再度為她專訪
電爆,1.狠狠地教訓一頓。 2.在競賽中獲得壓倒性勝利。,1. 小明一直偷吃餅乾，被媽媽抓到後，被電爆了一頓，再也不敢了。2. 在昨晚的籃球比賽中，我們隊以102比65電爆了對手，贏得了壓倒性勝利。
電競,「電子競技」的簡稱。指使用電子遊戲的比賽。,小明夢想成為一名職業選手，所以他每天花好幾個小時訓練自己的電競技巧。
鼠勾以,日文「すごい」，有「好厲害啊」的意思。,他竟然用五分鐘就解出了那道難題，鼠勾以捏！
鼠巴拉系,日文「素晴らしい」的中文發音。有絕佳的、極好的、美極了、優秀的、美好的...等等意思。,這次旅遊的景色真是鼠巴拉系，讓我大開眼界。
嘉玲,「加零」的諧音。指當天未增加COVID-19本土病例。,今天的疫情報告顯示，全國再次「嘉玲」，讓大家都鬆了一口氣。
嘎起,形容那些對虛擬偶像動愛慕之情的觀眾,不會吧，你居然是初音的嘎起喔
嘎逼,咖啡的諧音。,你看起來好累，要不要來杯嘎逼
嘔嘔嘔嘔嘔,表示噁心的生動用法，嘔心到想吐的感覺。 一般加在句末，表示罵完人還是覺得噁心到反胃。,他明明有女友還到處撩妹，真的渣到不行，嘔嘔嘔嘔嘔！
圖資,1.圖書資訊。 2.地圖資訊。,1. 我正在學校的圖書館查找歷史項目的圖資，以便更好地了解當時的社會背景。2. 為了準確導航，我們在手持設備上下載了最新的圖資，確保路線規劃沒有錯誤。
圖戰,使用圖片來跟人吵架、戰鬥。相較於傳統的使用打字的方式來吵架，使用圖戰通常氣勢更強、效果更好。,不爽就來圖戰啊！
團購,指多人集體購買某商品或服務，以獲得較大折扣或優惠的購物方式。,團購是在這裡寫資料嗎
實況主,參見【直播主】。,實況主每天晚上在網絡平台上為觀眾直播遊戲，比賽的時候更是吸引了上千名粉絲觀看。
實穿,指服裝設計注重實用性和舒適性，適合日常穿著並滿足功能需求。,期許「好穿、實穿、耐穿」的制服，能增進同仁工作效能
實測,指實際進行測試或試驗，以驗證某事物的真實情況或效果。,樓上正確，我實測不能改悠遊卡
慣老闆,指那些只顧自己利益，漠視員工權益的無良心老闆。這些老闆經常只把公司賺來的錢用在自己的奢侈品和享樂上，而忽略了員工的福利、工作環境和薪酬待遇。,這個慣老闆經常動用公司資金打造自己豪華辦公室，從不改善員工的工作環境。
截圖,將螢幕中的畫面完整保留或部分保留。也作「擷圖」。,小李為了記錄重要信息，迅速對顯示的報告頁面進行了截圖。
撂,1.台灣台語「落（làu）」，炫耀自己的語言能力。 2.台灣台語「落（làu）」，聚集眾人前來協助、鬧事。,1. 他今天在聚會上撂了一段流利的法語，大家都對他的語言能力讚嘆不已。2. 聽說他和鄰居起了紛爭，已經撂了一群朋友過去聲援他了。
敲碗,期待並催促某結果實現。,小明迫不及待想看到新出的電影，天天在網上敲碗，希望能提前上映。
敲擊,「超級」的諧音，帶有詼諧語氣,這個真的敲擊厲害的！
旗艦,具有指標意義的單位，表示其品質性能更好，或能提供更齊全的服務與商品。常見詞如「旗艦機」、「旗艦店」。,這家品牌在市中心新開了一間旗艦店，提供最全面的商品和最先進的服務，吸引了許多顧客前來體驗。
歌回,唱歌直播，多見於虛擬直播主的直播,佩克拉的歌回要開始了，等等再聊
漂移,指一種失去控制或故意操控車輛以側滑的方式行駛，通常用於形容車輛在快速轉彎或道路附著力不足時的動作。,看留言有人說是被頂到漂移出去煞車然候放開煞車
熊頭,形容有戀童傾向的人,這個熊頭怎麼還沒被抓去關
福利品,指企業或機構以改善員工或客戶福利為目的，通常以折扣或免費方式提供的產品，可能是試用品、滯銷品、瑕疵品等。,福利品特賣會38折起
種草 / 被推坑,「種草」用法源自於中國，表示看了別人的介紹因此也想一試，也就是「被推坑」的意思，而另有相反意思的「拔草」一詞，也就是被滅火的意思。,原本沒打算追這部劇，結果同事一直推，成功被推坑，現在每天追劇到半夜。
窩,用於非正式網路交流中，「我」的諧音語氣，以表達自稱。,窩好緊張喔
綠茶婊,形容那些表面看起來清純無害、溫柔善良，但實際上擅長心機操作、裝無辜以達到個人目的的女性。這個詞帶有貶義，源自「綠茶」的清新形象與其背後的反差形成對比。,明明和朋友表面裝得很好，卻背地裡挑撥是非，她真是一個典型的綠茶婊。
維安,維護安全，通常指保障公共場所或活動的安全秩序，防止任何威脅或危險情況的措施和行動。,安全組由保安警察擔任，負責維安、隔離
